Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Namibia,NAM,..,..,..,..,..,149.46625,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Netherlands,NLD,..,2649.3471,3664.36592,4361.35075,4551.93071,4512.59862,4673.08231,4776.84417,4887.21604,5604.5408,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,New Zealand,NZL,..,..,3688.88613,..,3961.47849,..,5417.66749,..,5529.5219,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Niger,NER,..,..,..,..,26.46415,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,North Macedonia,MKD,..,651.16357,445.22354,611.77913,675.27686,837.57866,858.45042,854.33425,729.35779,799.27238,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Norway,NOR,..,..,5502.46245,5552.97485,5573.82633,5685.62686,5890.95502,6077.56807,6350.06229,6466.70021,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Oman,OMN,..,..,148.75852,172.55775,132.07693,177.91253,212.53692,239.80297,242.41051,281.16111,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Pakistan,PAK,..,..,143.02921,..,158.12963,..,278.85397,..,335.58065,..,..,..
