Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Macao SAR, China",MAC,..,3.34086990356445,2.68518996238709,3.33735990524292,2.04986000061035,2.03205990791321,2.98169994354248,3.07790994644165,2.68988990783691,2.7386999130249,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Madagascar,MDG,..,2.4386899471283,2.38168001174927,2.34067010879517,1.77693998813629,2.3812301158905,2.21011996269226,2.68719005584717,..,2.82548999786377,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Malawi,MWI,3.27053999900818,5.24797010421753,4.1526198387146,..,5.41617012023926,4.83983993530273,5.60866022109985,4.74856996536255,4.03133010864258,4.71483993530273,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Malaysia,MYS,..,5.9716100692749,5.76293992996216,5.73902988433838,5.48120021820068,5.21263980865479,4.89486980438232,4.75191020965576,4.67756986618042,4.48125982284546,4.16318988800049,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Maldives,MDV,..,..,3.50659990310669,3.76038002967834,3.80012011528015,3.47045993804932,4.36654996871948,4.09970998764038,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mali,MLI,..,2.97156000137329,3.75423002243042,3.47949004173279,3.28465008735657,3.6480700969696,3.80150008201599,3.09609007835388,3.78730988502502,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Malta,MLT,3.83141994476318,..,7.79612016677856,6.52242994308472,7.87614011764526,7.20494985580444,5.21635007858276,5.2075400352478,4.82437992095947,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mauritania,MRT,..,..,2.33102011680603,2.15821003913879,2.29354000091553,..,..,1.94405996799469,..,..,1.89546000957489,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mauritius,MUS,3.17034006118774,3.76910996437073,3.33207011222839,3.41820001602173,3.61578989028931,4.91695022583008,4.88667011260986,5.01359987258911,5.02312994003296,4.83458995819092,4.71934986114502,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mexico,MEX,2.32498002052307,3.99243998527527,5.10564994812012,5.10309982299805,4.69605016708374,5.2606201171875,5.23523998260498,4.90949010848999,4.52281999588013,..,..,..
